ID_OREGANO	LIBELLE
PHENOTYPE:2151	Reduced delayed hypersensitivity
PHENOTYPE:1189	Abnormal myocardium morphology
PHENOTYPE:382	Abnormal eyelash morphology
PHENOTYPE:1240	Pericarditis
PHENOTYPE:7522	Recurrent aphthous stomatitis
PHENOTYPE:3663	Decreased proportion of CD4-positive helper T cells
PHENOTYPE:3661	Increased B cell count
PHENOTYPE:427	Uveitis
PHENOTYPE:8924	Non-Hodgkin lymphoma
PHENOTYPE:410	Abnormal eyebrow morphology
PHENOTYPE:9374	Lung adenocarcinoma
PHENOTYPE:4263	Alveolar cell carcinoma
PHENOTYPE:9636	Non-small cell lung carcinoma
PHENOTYPE:91	Polyuria
PHENOTYPE:7113	Enuresis nocturna
PHENOTYPE:6301	Nephrogenic diabetes insipidus
PHENOTYPE:3349	Hypernatremic dehydration
PHENOTYPE:1426	Polydipsia
PHENOTYPE:1451	Hypertonic dehydration
PHENOTYPE:2274	Hyposthenuria
PHENOTYPE:2331	Hypernatremia
PHENOTYPE:4762	Diffuse palmoplantar hyperkeratosis
PHENOTYPE:5438	Aplasia/Hypoplasia of the fallopian tube
PHENOTYPE:6361	Abnormality of secondary sexual hair
PHENOTYPE:1848	Absent pubic hair
PHENOTYPE:5477	Urethral diverticulum
PHENOTYPE:1845	Absent facial hair
PHENOTYPE:61	Labial hypoplasia
PHENOTYPE:47	Perineal hypospadias
PHENOTYPE:44	Bifid scrotum
PHENOTYPE:27	Testicular atrophy
PHENOTYPE:7	Abnormal morphology of female internal genitalia
PHENOTYPE:126	Decreased fertility
PHENOTYPE:134	Abnormality of the mouth
PHENOTYPE:132	Aplasia of the uterus
PHENOTYPE:1487	Esophageal atresia
PHENOTYPE:5183	Insulin insensitivity
PHENOTYPE:6918	Aplasia of the ovary
PHENOTYPE:5204	Androgen insufficiency
PHENOTYPE:11158	Germ cell neoplasia
PHENOTYPE:11072	Displacement of the urethral meatus
PHENOTYPE:613	Infertility
PHENOTYPE:636	Abnormality of the endocrine system
PHENOTYPE:9271	Abnormal uterine cervix morphology
PHENOTYPE:9256	Absent vas deferens
PHENOTYPE:9384	Increased serum testosterone level
PHENOTYPE:1136	Abnormal rib cage morphology
PHENOTYPE:1114	Growth abnormality
PHENOTYPE:1177	High pitched voice
PHENOTYPE:8822	Ventral shortening of foreskin
PHENOTYPE:9624	Abnormal circulating follicle-stimulating hormone concentration
PHENOTYPE:11237	Renovascular hypertension
PHENOTYPE:4723	Excessive wrinkled skin
PHENOTYPE:2701	Stippled calcification of the shoulder
PHENOTYPE:1040	Abnormal hip joint morphology
PHENOTYPE:1906	Arteriosclerosis
PHENOTYPE:2798	Stippled calcification of the elbow
PHENOTYPE:10995	Arterial stenosis
PHENOTYPE:8103	Sinus tachycardia
PHENOTYPE:6965	Adrenal calcification
PHENOTYPE:7079	Elevated alkaline phosphatase of bone origin
PHENOTYPE:836	Striae distensae
PHENOTYPE:7196	Ectopic calcification
PHENOTYPE:3393	Medial calcification of large arteries
PHENOTYPE:3353	Hypophosphatemic rickets
PHENOTYPE:490	Abnormal retinal artery morphology
PHENOTYPE:3005	Abnormal endocardium morphology
PHENOTYPE:3828	Joint hyperflexibility
PHENOTYPE:5706	Abnormal calcification of the carpal bones
PHENOTYPE:2313	Arterial calcification
PHENOTYPE:10450	Decreased DLCO
PHENOTYPE:10330	Encephalomalacia
PHENOTYPE:3458	Calcification of the auricular cartilage
PHENOTYPE:2034	Abnormality of the knee
PHENOTYPE:299	Stapes ankylosis
PHENOTYPE:4288	Hepatic calcification
PHENOTYPE:3529	Pancreatic calcification
PHENOTYPE:2138	Fused cervical vertebrae
PHENOTYPE:9444	Cardiogenic shock
PHENOTYPE:4367	Myocardial calcification
PHENOTYPE:1254	Coronary artery calcification
PHENOTYPE:1255	Mitral stenosis
PHENOTYPE:3594	Premature occlusive vascular stenosis
PHENOTYPE:8842	Medial calcification of medium-sized arteries
PHENOTYPE:360	Thickened nuchal skin fold
PHENOTYPE:8813	Optic disc drusen
PHENOTYPE:8795	Medullary nephrocalcinosis
PHENOTYPE:8796	Cortical nephrocalcinosis
PHENOTYPE:317	Mixed hearing impairment
PHENOTYPE:3693	Calcification of falx cerebri
PHENOTYPE:8893	Metamorphopsia
PHENOTYPE:442	Retinal hemorrhage
PHENOTYPE:1354	Abnormality of thrombocytes
PHENOTYPE:913	Large hands
PHENOTYPE:2630	Skeletal muscle hypertrophy
PHENOTYPE:42	Small scrotum
PHENOTYPE:1938	Coxa valga
PHENOTYPE:628	Penoscrotal hypospadias
PHENOTYPE:10051	Scaphocephaly
PHENOTYPE:2078	Obstructive sleep apnea
PHENOTYPE:4326	Wide intermamillary distance
PHENOTYPE:4609	Periventricular heterotopia
PHENOTYPE:4462	Cerebellar vermis atrophy
PHENOTYPE:2167	Patellar dislocation
PHENOTYPE:5266	Diaminoaciduria
PHENOTYPE:2323	Oroticaciduria
PHENOTYPE:6391	Ectopia pupillae
PHENOTYPE:4142	Persistence of primary teeth
PHENOTYPE:6275	3-4 toe syndactyly
PHENOTYPE:543	Conical tooth
PHENOTYPE:527	Oligodontia
PHENOTYPE:538	Microdontia
PHENOTYPE:7739	Hemifacial hypoplasia
PHENOTYPE:3166	Scarring alopecia of scalp
PHENOTYPE:5042	Unilateral narrow palpebral fissure
PHENOTYPE:4750	Generalized edema
PHENOTYPE:8962	Thin glomerular basement membrane
PHENOTYPE:1543	Emphysema
PHENOTYPE:814	Facial erythema
PHENOTYPE:6740	Stomatitis
PHENOTYPE:916	Hand oligodactyly
PHENOTYPE:6389	Anisocoria
PHENOTYPE:1106	Congenital fibrosis of extraocular muscles
PHENOTYPE:1100	Compensatory chin elevation
PHENOTYPE:5390	Congenital sensorineural hearing impairment
PHENOTYPE:9804	Abnormal best corrected visual acuity test
PHENOTYPE:479	Miosis
PHENOTYPE:7754	Abnormality of ocular abduction
PHENOTYPE:9858	Abnormal visual field test
PHENOTYPE:8633	Levator palpebrae superioris atrophy
PHENOTYPE:4986	Nonprogressive restrictive external ophthalmoplegia
PHENOTYPE:5035	Restrictive external ophthalmoplegia
PHENOTYPE:9502	Slow pupillary light response
PHENOTYPE:413	Abnormality of refraction
PHENOTYPE:416	Impaired ocular adduction
PHENOTYPE:10107	Posterior staphyloma
PHENOTYPE:1767	Molar tooth sign on MRI
PHENOTYPE:11251	Vitreous floaters
PHENOTYPE:999	Cerebellar vermis hypoplasia
PHENOTYPE:2023	Abnormal pattern of respiration
PHENOTYPE:8329	Elongated superior cerebellar peduncle
PHENOTYPE:6987	Sleep apnea
PHENOTYPE:1670	Abnormality of neuronal migration
PHENOTYPE:9939	Asteroid hyalosis
PHENOTYPE:3057	Abnormality of temperature regulation
PHENOTYPE:3103	Biparietal narrowing
PHENOTYPE:10014	Renal fibrosis
PHENOTYPE:7907	Cystoid macular edema
PHENOTYPE:4961	Posterior subcapsular cataract
PHENOTYPE:1235	Situs inversus totalis
PHENOTYPE:1325	Foot polydactyly
PHENOTYPE:7422	High myopia
PHENOTYPE:1778	Tetraplegia
PHENOTYPE:4656	Progressive psychomotor deterioration
PHENOTYPE:4641	Progressive gait ataxia
PHENOTYPE:11023	Neoplasm of the gallbladder
PHENOTYPE:2481	EMG: chronic denervation signs
PHENOTYPE:11181	Schizophrenia
PHENOTYPE:3366	Orthostatic hypotension due to autonomic dysfunction
PHENOTYPE:3787	Gallbladder dysfunction
PHENOTYPE:3036	Abnormal glycosphingolipid metabolism
PHENOTYPE:594	Decreased nerve conduction velocity
PHENOTYPE:583	Delusions
PHENOTYPE:9377	Punctate periventricular T2 hyperintense foci
PHENOTYPE:9348	Tip-toe gait
PHENOTYPE:2118	Increased CSF protein concentration
PHENOTYPE:1041	Hip dysplasia
PHENOTYPE:1925	Epiphyseal dysplasia
PHENOTYPE:8578	Constrictive median neuropathy
PHENOTYPE:2392	Hypoplasia of the odontoid process
PHENOTYPE:2382	Ovoid vertebral bodies
PHENOTYPE:8336	Anterior wedging of L2
PHENOTYPE:5245	Dermatan sulfate excretion in urine
PHENOTYPE:787	Hirsutism
PHENOTYPE:1701	Cervical myelopathy
PHENOTYPE:5321	Anterior wedging of L1
PHENOTYPE:7813	Caesarian section
PHENOTYPE:690	Prominent sternum
PHENOTYPE:691	Broad ribs
PHENOTYPE:2367	Hypoplastic acetabulae
PHENOTYPE:2077	Flared iliac wing
PHENOTYPE:2074	Hypoplastic iliac wing
PHENOTYPE:1801	Acute leukemia
PHENOTYPE:7292	Abdominal wall defect
PHENOTYPE:1862	Abnormal stomach morphology
PHENOTYPE:105	Unilateral renal agenesis
PHENOTYPE:11062	Testicular seminoma
PHENOTYPE:5499	Laryngeal calcification
PHENOTYPE:2010	Tracheal stenosis
PHENOTYPE:2017	Tracheal calcification
PHENOTYPE:3234	Calcaneal epiphyseal stippling
PHENOTYPE:2397	C1-C2 subluxation
PHENOTYPE:2394	Butterfly vertebrae
PHENOTYPE:2502	Atlantoaxial instability
PHENOTYPE:2466	Coronal cleft vertebrae
PHENOTYPE:5310	Vertebral hypoplasia
PHENOTYPE:7105	Hypoplasia of the anterior nasal spine
PHENOTYPE:7094	Epiphyseal stippling
PHENOTYPE:7085	Cervical spine instability
PHENOTYPE:1716	Cervical cord compression
PHENOTYPE:5355	Cervical vertebral dysplasia
PHENOTYPE:5334	Cervical spinal canal stenosis
PHENOTYPE:5323	Hypoplastic cervical vertebrae
PHENOTYPE:5313	Punctate vertebral calcifications
PHENOTYPE:5659	Abnormal ossification involving the femoral head and neck
PHENOTYPE:6637	Epiphyseal stippling of toe phalanges
PHENOTYPE:3096	Pulmonary artery stenosis
PHENOTYPE:718	Abnormality of the costochondral junction
PHENOTYPE:724	Abnormality of the vertebral column
PHENOTYPE:6716	Stippling of the epiphyses of the distal phalanges of the hand
PHENOTYPE:2079	Central apnea
PHENOTYPE:2136	Cervical kyphosis
PHENOTYPE:347	Depressed nasal ridge
PHENOTYPE:325	Short nasal septum
PHENOTYPE:1269	Nasal congestion
PHENOTYPE:11578	Abnormal hyoid bone morphology
PHENOTYPE:1346	Short distal phalanx of toe
PHENOTYPE:890	Retinal arteriolar tortuosity
PHENOTYPE:1772	Meningocele
PHENOTYPE:4655	Occipital myelomeningocele
PHENOTYPE:1763	Spina bifida
PHENOTYPE:975	Tetany
PHENOTYPE:1953	Platybasia
PHENOTYPE:99	Polycystic kidney dysplasia
PHENOTYPE:11192	Abnormality of the tonsils
PHENOTYPE:11165	Hypertensive crisis
PHENOTYPE:823	Seborrheic dermatitis
PHENOTYPE:3755	Multiple renal cysts
PHENOTYPE:465	Abnormality of the pharynx
PHENOTYPE:7731	Multiple suture craniosynostosis
PHENOTYPE:9115	Anorectal anomaly
PHENOTYPE:7899	Corneal neovascularization
PHENOTYPE:727	Abnormal skull morphology
PHENOTYPE:8062	Tricuspid atresia
PHENOTYPE:4256	Chronic pulmonary obstruction
PHENOTYPE:302	Small earlobe
PHENOTYPE:1173	Hypernasal speech
PHENOTYPE:8693	Abnormal aortic arch morphology
PHENOTYPE:1198	Abnormal aortic valve morphology
PHENOTYPE:1210	Truncus arteriosus
PHENOTYPE:1193	Abnormal pulmonary valve morphology
PHENOTYPE:375	Abnormal eyelid morphology
PHENOTYPE:343	Choanal atresia
PHENOTYPE:919	Hyperextensibility of the finger joints
PHENOTYPE:903	Abnormality of the hand
PHENOTYPE:4653	Spinal muscular atrophy
PHENOTYPE:4782	Periarticular subcutaneous nodules
PHENOTYPE:992	Tongue fasciculations
PHENOTYPE:5583	Progressive distal muscular atrophy
PHENOTYPE:1560	Generalized myoclonic seizure
PHENOTYPE:1546	Recurrent aspiration pneumonia
PHENOTYPE:6954	Limitation of knee mobility
PHENOTYPE:1625	Diffuse reticular or finely nodular infiltrations
PHENOTYPE:7161	Cherry red spot of the macula
PHENOTYPE:1735	Abnormal lower motor neuron morphology
PHENOTYPE:11402	Skin nodule
PHENOTYPE:7247	Atonic seizure
PHENOTYPE:6305	Abnormality of the elbow
PHENOTYPE:6267	Osteolytic defects of the phalanges of the hand
PHENOTYPE:2590	CNS foam cells
PHENOTYPE:2200	Ulnar deviation of the wrist
PHENOTYPE:5683	Osteolysis involving bones of the feet
PHENOTYPE:10278	Lipogranulomatosis
PHENOTYPE:4257	Laryngeal stridor
PHENOTYPE:4301	Intrahepatic cholestasis with episodic jaundice
PHENOTYPE:1175	Hoarse cry
PHENOTYPE:1174	Weak cry
PHENOTYPE:1228	Loss of voice
PHENOTYPE:7561	Typical absence seizure
PHENOTYPE:8854	Infantile spasms
PHENOTYPE:1278	High-frequency sensorineural hearing impairment
PHENOTYPE:3707	Abnormal epiglottis morphology
PHENOTYPE:384	Abnormal conjunctiva morphology
PHENOTYPE:6988	Central sleep apnea
PHENOTYPE:4589	Central hypoventilation
PHENOTYPE:2171	Ganglioneuroma
PHENOTYPE:2172	Neuroblastoma
PHENOTYPE:2425	Aminoaciduria
PHENOTYPE:3960	Hypoargininemia
PHENOTYPE:1493	Protein avoidance
PHENOTYPE:1419	Episodic ammonia intoxication
PHENOTYPE:1418	Respiratory alkalosis
PHENOTYPE:7764	Dry hair
PHENOTYPE:7767	Abnormal hair quantity
PHENOTYPE:2322	Hyperglutaminemia
PHENOTYPE:8023	Muscular ventricular septal defect
PHENOTYPE:4279	Cardiorespiratory arrest
PHENOTYPE:6353	Simplified gyral pattern
PHENOTYPE:1837	Cortical dysplasia
PHENOTYPE:1617	Dilated fourth ventricle
PHENOTYPE:1668	Exaggerated startle response
PHENOTYPE:4574	Dilated third ventricle
PHENOTYPE:1715	Caudate atrophy
PHENOTYPE:7854	Primary microcephaly
PHENOTYPE:5662	Diaphragmatic eventration
PHENOTYPE:272	Sloping forehead
PHENOTYPE:3580	Prominent nasal tip
PHENOTYPE:1329	Long foot
PHENOTYPE:1805	Upper motor neuron dysfunction
PHENOTYPE:1025	Megalencephaly
PHENOTYPE:1099	Delayed closure of the anterior fontanelle
PHENOTYPE:1619	Pseudobulbar signs
PHENOTYPE:9134	Abnormal basal ganglia MRI signal intensity
PHENOTYPE:9145	Cerebral white matter atrophy
PHENOTYPE:10329	Mild microcephaly
PHENOTYPE:7513	Epileptic spasm
PHENOTYPE:886	Lens subluxation
PHENOTYPE:1584	Homocystinuria
PHENOTYPE:854	Iris atrophy
PHENOTYPE:849	Ectopia lentis
PHENOTYPE:9013	Phakodonesis
PHENOTYPE:7886	Anterior synechiae of the anterior chamber
PHENOTYPE:2148	Cubitus valgus
PHENOTYPE:5022	Ocular hypertension
PHENOTYPE:461	Shallow anterior chamber
PHENOTYPE:8361	Elevated plasma citrulline
PHENOTYPE:1910	Superficial thrombophlebitis
PHENOTYPE:3303	Recurrent thromboembolism
PHENOTYPE:9020	Retinal vein occlusion
PHENOTYPE:3100	Recurrent thrombophlebitis
PHENOTYPE:10357	Decreased level of heparin co-factor II
PHENOTYPE:10377	Reduced antithrombin antigen
PHENOTYPE:3600	Cerebral venous thrombosis
PHENOTYPE:9537	Mesenteric venous thrombosis
PHENOTYPE:9532	Hepatic vein thrombosis
PHENOTYPE:9531	Portal vein thrombosis
PHENOTYPE:58	Fused labia minora
PHENOTYPE:7210	Skin dimple
PHENOTYPE:5007	Congenital blindness
PHENOTYPE:5448	Abnormal spermatogenesis
PHENOTYPE:1968	Abnormality of the immune system
PHENOTYPE:1523	Progressive cerebellar ataxia
PHENOTYPE:3779	Hypopigmentation of hair
PHENOTYPE:3754	Abnormality of bone marrow cell morphology
PHENOTYPE:2325	Abnormality of chromosome stability
PHENOTYPE:5110	Aplasia/Hypoplasia of the skin
PHENOTYPE:2052	Recurrent bronchitis
PHENOTYPE:3640	Defective B cell differentiation
PHENOTYPE:4392	Acute lymphoblastic leukemia
PHENOTYPE:905	Syndactyly
PHENOTYPE:871	Ocular albinism
PHENOTYPE:51	Abnormality of female external genitalia
PHENOTYPE:160	Broad alveolar ridges
PHENOTYPE:103	Abnormality of the genitourinary system
PHENOTYPE:1656	Duodenal atresia
PHENOTYPE:515	Peters anomaly
PHENOTYPE:3065	Abnormality of the anus
PHENOTYPE:570	Abnormal repetitive mannerisms
PHENOTYPE:686	11 pairs of ribs
PHENOTYPE:698	Bifid ribs
PHENOTYPE:1217	Abnormal cardiac septum morphology
PHENOTYPE:9588	Hypoplastic anterior commissure
PHENOTYPE:1263	Annular pancreas
PHENOTYPE:363	Abnormality of the eye
PHENOTYPE:1288	Short foot
PHENOTYPE:1270	Abnormality of the spleen
PHENOTYPE:7637	Broad eyebrow
PHENOTYPE:7636	Horizontal eyebrow
PHENOTYPE:8562	Self-biting
PHENOTYPE:111	Renal potassium wasting
PHENOTYPE:2439	Steppage gait
PHENOTYPE:4469	Cerebral hypoplasia
PHENOTYPE:3759	Renal magnesium wasting
PHENOTYPE:9109	Episodic hypokalemia
PHENOTYPE:2113	Hypomagnesemia
PHENOTYPE:881	Transient unilateral blurring of vision
PHENOTYPE:4628	Facial paralysis
PHENOTYPE:1864	Gastrointestinal dysmotility
PHENOTYPE:4700	Aplasia/Hypoplasia of the pyramidal tract
PHENOTYPE:4683	Bilateral tonic-clonic seizure with focal onset
PHENOTYPE:1835	Abnormal cortical gyration
PHENOTYPE:8439	Seesaw nystagmus
PHENOTYPE:8587	Episodic hemiplegia
PHENOTYPE:5585	Distal upper limb muscle weakness
PHENOTYPE:1527	Migraine with aura
PHENOTYPE:1563	Episodic ataxia
PHENOTYPE:6996	Vertical nystagmus
PHENOTYPE:1665	Exaggerated cupid's bow
PHENOTYPE:11470	CSF lymphocytic pleiocytosis
PHENOTYPE:4570	Thick corpus callosum
PHENOTYPE:1719	Progressive neurologic deterioration
PHENOTYPE:1707	Drowsiness
PHENOTYPE:7263	Dissociated sensory loss
PHENOTYPE:7261	Spontaneous pain sensation
PHENOTYPE:11430	Episodic quadriplegia
PHENOTYPE:508	Diplopia
PHENOTYPE:9034	Perisylvian polymicrogyria
PHENOTYPE:7871	Facial tics
PHENOTYPE:10038	Photopsia
PHENOTYPE:2050	Aspiration
PHENOTYPE:7605	EEG with focal sharp waves
PHENOTYPE:7608	EEG with generalized sharp slow waves
PHENOTYPE:7568	Focal sensory seizure
PHENOTYPE:7566	Focal motor seizure
PHENOTYPE:5058	Gaze-evoked horizontal nystagmus
PHENOTYPE:444	Scotoma
PHENOTYPE:4703	Atrophy/Degeneration affecting the brainstem
PHENOTYPE:1559	Generalized non-motor (absence) seizure
PHENOTYPE:1748	Focal impaired awareness seizure
PHENOTYPE:4461	Episodic generalized hypotonia
PHENOTYPE:4446	Focal hemiclonic seizure
PHENOTYPE:4480	Frontotemporal cerebral atrophy
PHENOTYPE:5051	Undetectable visual evoked potentials
PHENOTYPE:1253	Wolff-Parkinson-White syndrome
PHENOTYPE:2253	Hypocalciuria
PHENOTYPE:1799	Myotonia
PHENOTYPE:1762	Myokymia
PHENOTYPE:2629	Exercise-induced muscle cramps
PHENOTYPE:5589	Exercise-induced muscle stiffness
PHENOTYPE:7000	Percussion myotonia
PHENOTYPE:10744	EMG: myotonic discharges
PHENOTYPE:4824	Punctate palmoplantar hyperkeratosis
PHENOTYPE:8200	Enlargement of parotid gland
PHENOTYPE:5307	Subungual hyperkeratotic fragments
PHENOTYPE:11216	Acantholysis
PHENOTYPE:7053	Palmar pits
PHENOTYPE:7054	Plantar pits
PHENOTYPE:810	Parakeratosis
PHENOTYPE:11386	Acrokeratosis
PHENOTYPE:11403	Skin vesicle
PHENOTYPE:11401	Skin plaque
PHENOTYPE:11408	Verrucae
PHENOTYPE:3528	Anal mucosal leukoplakia
PHENOTYPE:8885	Verrucous papule
PHENOTYPE:1320	Leukonychia
PHENOTYPE:1348	Toe clinodactyly
PHENOTYPE:901	Saccadic smooth pursuit
PHENOTYPE:1789	Spastic dysarthria
PHENOTYPE:5571	Generalized neonatal hypotonia
PHENOTYPE:2624	Difficulty standing
PHENOTYPE:1720	Action tremor
PHENOTYPE:2613	Nonprogressive
PHENOTYPE:394	Slow saccadic eye movements
PHENOTYPE:1808	Spastic ataxia
PHENOTYPE:8321	Decreased activity of mitochondrial ATP synthase complex
PHENOTYPE:2566	Low plasma citrulline
PHENOTYPE:2537	3-Methylglutaconic aciduria
PHENOTYPE:5277	Hyperprolinemia
PHENOTYPE:10485	Cerebral palsy
PHENOTYPE:7271	EEG with generalized slow activity
PHENOTYPE:226	Facial grimacing
PHENOTYPE:1142	Prenatal movement abnormality
PHENOTYPE:7607	EEG with generalized epileptiform discharges
PHENOTYPE:7575	Focal myoclonic seizure
PHENOTYPE:7565	Early onset absence seizures
PHENOTYPE:8807	Meconium stained amniotic fluid
PHENOTYPE:7336	Hyperisoleucinemia
PHENOTYPE:7334	Hyperleucinemia
PHENOTYPE:7333	Hypervalinemia
PHENOTYPE:2260	Increased blood urea nitrogen
PHENOTYPE:1572	Gait imbalance
PHENOTYPE:8444	Laryngeal dystonia
PHENOTYPE:7376	Hypoplastic right heart
PHENOTYPE:6404	Narrow naris
PHENOTYPE:2658	Reduced subcutaneous adipose tissue
PHENOTYPE:11289	Thick hair
PHENOTYPE:7408	Abnormality of the intrinsic pathway
PHENOTYPE:991	Dandy-Walker malformation
PHENOTYPE:3976	Redundant neck skin
PHENOTYPE:1597	Gliosis
PHENOTYPE:1626	Coarse hair
PHENOTYPE:1731	Psychomotor deterioration
PHENOTYPE:4479	Thick cerebral cortex
PHENOTYPE:2276	Abnormal isoelectric focusing of serum transferrin
PHENOTYPE:3578	Prominent nasolabial fold
PHENOTYPE:414	Hypermetropia
PHENOTYPE:5423	Severe sensorineural hearing impairment
PHENOTYPE:927	Triphalangeal thumb
PHENOTYPE:6367	Thickened ears
PHENOTYPE:4823	Hidrotic ectodermal dysplasia
PHENOTYPE:4064	Deep palmar crease
PHENOTYPE:147	Gingival fibromatosis
PHENOTYPE:1465	Deep philtrum
PHENOTYPE:5138	Equinovarus deformity
PHENOTYPE:1666	Large fleshy ears
PHENOTYPE:1635	Facial hypertrichosis
PHENOTYPE:11441	Absent fifth fingernail
PHENOTYPE:11465	Small, conical teeth
PHENOTYPE:5293	Abnormal toenail morphology
PHENOTYPE:829	Aplasia cutis congenita
PHENOTYPE:542	Delayed eruption of permanent teeth
PHENOTYPE:525	Macrodontia of permanent maxillary central incisor
PHENOTYPE:7733	Anterior plagiocephaly
PHENOTYPE:4500	Congenital nystagmus
PHENOTYPE:7812	Abnormal placental membrane morphology
PHENOTYPE:9108	Cutaneous syndactyly
PHENOTYPE:5705	Absent middle phalanx of 5th finger
PHENOTYPE:3118	Sagittal craniosynostosis
PHENOTYPE:3833	Bilateral triphalangeal thumbs
PHENOTYPE:664	Congenital hypothyroidism
PHENOTYPE:9193	Wide nasal base
PHENOTYPE:630	Abnormal external genitalia
PHENOTYPE:5776	Short 5th finger
PHENOTYPE:3167	Generalized hypertrichosis
PHENOTYPE:780	Hypertrichosis
PHENOTYPE:6805	Aplasia/Hypoplasia of the phalanges of the 2nd toe
PHENOTYPE:1159	Selective tooth agenesis
PHENOTYPE:222	Prominent occiput
PHENOTYPE:4179	Overtubulated long bones
PHENOTYPE:171	Short lingual frenulum
PHENOTYPE:3614	Prominent nasal septum
PHENOTYPE:1256	Double outlet right ventricle
PHENOTYPE:8789	Increased urine alpha-ketoglutarate concentration
PHENOTYPE:319	Atresia of the external auditory canal
PHENOTYPE:330	Underdeveloped nasal alae
PHENOTYPE:404	Long eyelashes
PHENOTYPE:1308	Hypoplastic fingernail
PHENOTYPE:1305	Hypoplastic toenails
PHENOTYPE:8939	Absent thumbnail
PHENOTYPE:443	Thick eyebrow
PHENOTYPE:1351	Deep plantar creases
PHENOTYPE:920	Hand clenching
PHENOTYPE:11460	Biventricular hypertrophy
PHENOTYPE:7191	Broad columella
PHENOTYPE:1338	Overlapping toe
PHENOTYPE:1662	Intermittent diarrhea
PHENOTYPE:2496	Decreased circulating total IgA
PHENOTYPE:11136	Arachnoid cyst
PHENOTYPE:9235	Hepatic bridging fibrosis
PHENOTYPE:8747	Abnormal protein O-linked glycosylation
PHENOTYPE:8736	Abnormal protein N-linked glycosylation
PHENOTYPE:8691	Type II transferrin isoform profile
PHENOTYPE:1273	Accessory spleen
PHENOTYPE:2669	Pili torti
PHENOTYPE:973	Orthostatic hypotension
PHENOTYPE:947	Capitate-hamate fusion
PHENOTYPE:3983	Ureteral obstruction
PHENOTYPE:2734	Humerus varus
PHENOTYPE:1038	Limited elbow extension
PHENOTYPE:14	Bladder diverticulum
PHENOTYPE:5536	Large iliac wing
PHENOTYPE:1917	Wormian bones
PHENOTYPE:150	Abnormal palate morphology
PHENOTYPE:2001	Osteomyelitis
PHENOTYPE:1491	Hiatus hernia
PHENOTYPE:10991	Femoral hernia
PHENOTYPE:6074	Absent tibia
PHENOTYPE:5285	Tarsal synostosis
PHENOTYPE:11390	Down-sloping shoulders
PHENOTYPE:11078	Esophagitis
PHENOTYPE:11133	Scarring
PHENOTYPE:2982	Short palm
PHENOTYPE:2207	Limited knee extension
PHENOTYPE:593	Abnormal peripheral nervous system morphology
PHENOTYPE:3846	Avascular necrosis of the capital femoral epiphysis
PHENOTYPE:715	Broad clavicles
PHENOTYPE:2286	Abnormal pubic bone morphology
PHENOTYPE:3872	Short humerus
PHENOTYPE:3142	Persistent open anterior fontanelle
PHENOTYPE:700	Short clavicles
PHENOTYPE:2369	Pelvic bone exostoses
PHENOTYPE:224	Abnormality of the face
PHENOTYPE:2031	Coxa vara
PHENOTYPE:3437	Metaphyseal spurs
PHENOTYPE:2070	Bladder carcinoma
PHENOTYPE:4253	Aplasia/hypoplasia of the humerus
PHENOTYPE:4236	Bowing of the long bones
PHENOTYPE:2164	Abnormality of fibula morphology
PHENOTYPE:3597	Carotid artery tortuosity
PHENOTYPE:3630	Abnormal carotid artery morphology
PHENOTYPE:4351	Aplastic clavicle
PHENOTYPE:3591	Venous insufficiency
PHENOTYPE:358	Long neck
PHENOTYPE:4678	Mixed demyelinating and axonal polyneuropathy
PHENOTYPE:1843	Parkinsonism with favorable response to dopaminergic medication
PHENOTYPE:122	Abnormality of the menstrual cycle
PHENOTYPE:107	Renal tubular dysfunction
PHENOTYPE:1673	Poor motor coordination
PHENOTYPE:2539	Hypouricemia
PHENOTYPE:11453	Acute hepatitis
PHENOTYPE:11210	Insomnia
PHENOTYPE:11455	Atypical or prolonged hepatitis
PHENOTYPE:7266	High nonceruloplasmin-bound serum copper
PHENOTYPE:7267	Increased urinary copper concentration
PHENOTYPE:11399	Kayser-Fleischer ring
PHENOTYPE:3018	Increased body weight
PHENOTYPE:4284	Acute hepatic failure
PHENOTYPE:9505	Hypersexuality
PHENOTYPE:4032	Abnormal finger flexion crease
PHENOTYPE:8575	Oropharyngeal squamous cell carcinoma
PHENOTYPE:7025	Cone-shaped epiphysis
PHENOTYPE:7028	Ivory epiphyses
PHENOTYPE:4558	Large basal ganglia
PHENOTYPE:855	Abnormally large globe
PHENOTYPE:7771	Yellow nails
PHENOTYPE:2221	Dislocated radial head
PHENOTYPE:6692	Cone-shaped epiphyses of the phalanges of the hand
PHENOTYPE:4208	Hypoplasia of proximal fibula
PHENOTYPE:4202	Hypoplasia of proximal radius
PHENOTYPE:200	Small anterior fontanelle
PHENOTYPE:8595	Onychomycosis
PHENOTYPE:7482	Conical incisor
PHENOTYPE:303	Absent earlobe
PHENOTYPE:286	Abnormal earlobe morphology
PHENOTYPE:3625	Sparse lateral eyebrow
PHENOTYPE:1310	Onycholysis
PHENOTYPE:1365	Talipes
PHENOTYPE:918	Tapered finger
PHENOTYPE:880	Visual field defect
PHENOTYPE:1865	Volvulus
PHENOTYPE:1859	Episodic abdominal pain
PHENOTYPE:945	Slender finger
PHENOTYPE:8425	Increased urinary cortisol level
PHENOTYPE:45	Shawl scrotum
PHENOTYPE:1952	Large sella turcica
